taskType,dependencyCount,retryCount,workflowSize,previousDuration,actualDuration
EMAIL,0,2,16,13.34,20.21
DATABASE,5,1,20,16.26,35.14
COMPUTE,2,1,12,27.0,45.43
FILE,2,2,18,24.75,36.13
REST,2,1,18,5.29,16.0
REST,3,1,5,28.54,38.73
DATABASE,1,2,20,22.32,39.84
COMPUTE,5,2,12,25.98,48.91
EMAIL,5,1,14,4.76,17.92
DATABASE,3,0,19,13.93,27.8
REST,2,2,20,29.41,43.52
COMPUTE,2,3,5,18.81,35.96
REST,0,1,11,1.09,6.39
FILE,1,2,13,4.22,13.27
EMAIL,5,3,16,22.59,42.42
FILE,1,1,16,4.59,13.68
REST,0,0,14,20.79,28.41
COMPUTE,5,3,6,29.5,53.94
COMPUTE,1,1,14,4.19,18.33
REST,2,1,11,3.01,12.1
FILE,4,0,14,1.18,10.55
REST,2,1,19,19.84,33.78
EMAIL,1,1,19,9.37,19.57
COMPUTE,1,0,16,11.69,24.94
COMPUTE,0,3,14,16.45,35.05
COMPUTE,5,2,9,10.41,34.47
DATABASE,1,0,20,20.09,31.59
EMAIL,4,3,16,11.32,28.6
EMAIL,2,1,19,24.11,35.15
EMAIL,4,1,5,22.55,31.29
EMAIL,3,3,12,12.17,27.88
FILE,1,2,4,8.6,14.53
COMPUTE,5,3,8,22.91,47.8
EMAIL,2,1,13,25.25,32.94
REST,2,0,12,2.34,12.39
EMAIL,3,0,4,26.32,30.61
EMAIL,2,1,3,25.84,31.63
REST,2,2,16,26.16,39.8
DATABASE,2,1,5,14.4,24.72
DATABASE,0,2,19,28.54,43.16
EMAIL,3,0,12,10.44,19.25
REST,4,2,12,17.62,33.86
FILE,0,1,4,16.28,21.04
EMAIL,1,2,5,11.99,19.98
FILE,1,1,18,17.88,28.1
FILE,1,3,12,6.67,17.8
DATABASE,0,3,19,18.86,36.77
EMAIL,0,1,9,23.52,28.01
DATABASE,2,3,12,4.87,23.02
COMPUTE,4,0,12,2.46,19.82
FILE,2,3,8,5.8,15.84
DATABASE,5,3,13,19.0,40.45
EMAIL,4,0,8,2.78,9.36
EMAIL,5,1,8,9.82,23.57
EMAIL,2,2,18,8.83,20.1
EMAIL,5,3,15,21.88,41.74
COMPUTE,4,0,17,15.67,34.29
COMPUTE,5,3,19,6.24,34.03
FILE,2,0,6,20.79,25.66
EMAIL,1,2,13,20.03,28.2
COMPUTE,5,2,4,4.29,23.94
COMPUTE,1,3,10,12.21,30.95
EMAIL,4,2,17,24.35,37.8
DATABASE,0,1,12,22.56,34.91
FILE,5,1,12,16.77,28.85
DATABASE,1,1,7,24.57,36.34
COMPUTE,2,1,4,6.35,21.92
FILE,0,3,8,11.62,20.25
EMAIL,4,3,9,27.35,42.55
REST,1,3,11,3.51,17.74
DATABASE,4,3,6,13.69,32.46
REST,4,0,8,28.98,37.46
DATABASE,2,0,9,12.52,24.87
DATABASE,3,3,12,22.25,42.18
COMPUTE,1,0,19,19.48,35.35
EMAIL,0,0,20,8.43,15.56
REST,0,1,8,9.91,15.89
FILE,1,3,14,11.13,22.37
FILE,1,1,7,3.13,8.93
EMAIL,1,0,11,27.66,31.09
COMPUTE,0,1,13,11.88,27.13
FILE,0,3,18,26.57,38.35
DATABASE,1,0,18,15.09,26.1
COMPUTE,3,2,14,26.98,48.85
COMPUTE,3,3,16,8.9,32.67
FILE,2,2,17,8.67,19.43
FILE,4,1,4,12.57,23.18
COMPUTE,5,1,17,9.12,30.39
FILE,1,1,6,16.94,22.92
COMPUTE,2,2,5,9.07,25.78
DATABASE,2,3,12,6.55,23.35
COMPUTE,5,2,16,24.09,49.2
REST,4,1,6,14.75,28.02
REST,1,1,18,12.1,24.95
EMAIL,3,2,15,13.82,26.7
COMPUTE,0,3,16,15.3,35.56
EMAIL,1,1,19,29.93,41.04
REST,1,0,17,12.32,20.97
EMAIL,5,2,9,4.91,19.12
DATABASE,2,2,6,23.72,39.51
DATABASE,5,0,19,27.46,44.71
DATABASE,5,0,16,28.35,44.83
REST,5,1,12,4.63,18.71
FILE,3,1,8,26.06,34.71
EMAIL,2,0,7,24.04,27.88
DATABASE,5,0,6,2.36,15.33
EMAIL,5,3,19,7.79,28.39
EMAIL,0,3,5,13.67,19.48
COMPUTE,3,1,4,1.86,19.3
COMPUTE,2,1,11,8.44,25.55
COMPUTE,3,0,6,27.11,42.03
EMAIL,3,1,16,6.64,18.89
FILE,5,3,19,7.9,28.29
FILE,0,0,14,28.08,31.29
COMPUTE,0,2,9,14.52,28.85
REST,1,1,3,19.36,25.13
EMAIL,4,2,15,4.29,17.67
REST,4,1,5,9.53,20.75
REST,3,1,15,17.95,30.67
EMAIL,4,1,13,23.56,35.5
DATABASE,3,1,7,5.29,19.45
REST,5,3,11,7.07,25.2
REST,2,3,3,27.43,39.07
EMAIL,2,3,3,26.3,37.74
FILE,2,2,3,22.4,32.22
DATABASE,1,3,6,18.5,32.63
DATABASE,5,1,8,12.59,30.99
EMAIL,1,3,8,20.59,31.61
EMAIL,3,1,6,12.05,19.61
COMPUTE,0,1,13,19.74,34.84
DATABASE,1,2,3,13.42,25.94
REST,1,0,13,19.29,24.95
EMAIL,5,1,18,14.85,30.05
FILE,2,2,20,19.25,30.49
DATABASE,5,2,16,25.15,46.29
FILE,0,1,9,9.12,12.88
COMPUTE,5,0,5,6.35,22.44
EMAIL,3,1,18,21.46,35.29
EMAIL,1,1,12,15.51,21.0
FILE,0,0,10,2.06,6.36
FILE,0,0,12,28.29,30.42
COMPUTE,4,3,19,8.42,33.2
COMPUTE,3,3,7,23.26,42.34
COMPUTE,5,3,15,18.97,44.42
REST,1,3,5,23.61,36.33
COMPUTE,5,1,5,3.88,22.15
FILE,5,0,18,15.92,28.94
COMPUTE,0,2,18,14.32,30.74
FILE,0,1,3,19.84,20.91
FILE,4,3,20,29.85,46.51
REST,1,2,16,3.53,17.55
COMPUTE,0,3,20,25.98,44.99
REST,2,3,9,28.73,41.54
DATABASE,5,0,19,5.18,24.35
DATABASE,1,1,7,20.1,29.74
EMAIL,5,0,12,14.06,23.38
REST,2,3,6,19.35,30.36
EMAIL,4,0,4,25.51,31.1
EMAIL,5,2,19,26.06,41.71
DATABASE,3,0,7,28.97,39.87
DATABASE,2,1,6,21.72,33.62
REST,2,2,8,18.57,29.98
EMAIL,4,2,3,28.28,40.0
REST,4,2,4,29.31,41.25
COMPUTE,0,2,17,3.88,20.76
REST,1,1,13,12.03,19.65
DATABASE,3,1,10,28.56,41.34
COMPUTE,0,1,13,17.24,32.55
DATABASE,5,3,20,19.95,46.2
COMPUTE,4,3,14,1.27,23.68
REST,4,0,18,29.1,40.77
EMAIL,4,2,17,8.33,24.25
REST,4,0,17,26.16,38.1
REST,4,0,5,15.17,25.41
REST,0,0,9,5.17,11.67
EMAIL,3,2,13,11.0,25.24
REST,3,1,6,4.9,15.57
COMPUTE,5,2,12,13.02,35.89
COMPUTE,0,0,10,19.37,28.6
COMPUTE,3,2,11,17.3,36.61
DATABASE,3,0,13,22.05,37.05
REST,2,2,14,2.16,16.44
EMAIL,3,2,13,16.69,29.69
DATABASE,3,2,4,3.37,16.64
DATABASE,5,1,20,28.3,48.01
EMAIL,5,0,20,12.85,25.05
EMAIL,3,1,5,4.91,12.18
FILE,4,0,18,14.67,25.73
COMPUTE,4,0,9,21.16,37.31
DATABASE,2,0,20,7.49,21.36
REST,5,0,3,6.86,16.01
DATABASE,2,1,20,12.78,30.61
DATABASE,1,3,7,15.94,31.39
FILE,5,0,13,10.63,20.92
COMPUTE,4,2,14,13.55,37.1
EMAIL,5,0,12,18.07,30.46
REST,0,3,9,15.05,27.08
DATABASE,4,2,3,6.91,21.66
DATABASE,0,0,13,10.06,18.73
REST,4,2,12,17.74,35.09
FILE,3,2,8,11.12,21.51
REST,3,2,5,29.65,39.9
DATABASE,4,1,3,3.2,18.89
DATABASE,2,1,7,18.71,29.03
REST,2,0,3,28.99,34.29
COMPUTE,5,0,19,19.92,42.45
REST,0,3,16,17.69,32.09
COMPUTE,5,3,18,7.9,34.87
DATABASE,4,2,11,5.26,21.91
COMPUTE,1,2,20,20.57,41.28
DATABASE,0,2,7,19.01,29.86
COMPUTE,4,1,4,28.8,44.49
REST,0,0,13,29.82,33.91
DATABASE,2,0,10,1.02,11.33
FILE,2,2,19,10.68,22.61
EMAIL,4,3,15,24.39,38.98
EMAIL,4,1,12,12.84,23.82
DATABASE,0,3,15,20.43,36.22
COMPUTE,1,2,6,20.24,35.01
DATABASE,2,1,12,23.99,38.43
COMPUTE,3,2,3,5.29,20.97
REST,2,3,19,1.7,17.16
REST,0,0,6,8.71,13.75
COMPUTE,5,0,14,24.8,42.67
FILE,4,3,10,9.99,23.52
EMAIL,1,2,5,20.8,29.01
EMAIL,5,3,7,19.31,33.42
REST,1,1,16,6.69,16.7
REST,4,3,19,4.01,25.06
DATABASE,4,1,4,22.94,38.02
DATABASE,0,2,3,19.73,28.02
REST,5,0,11,20.08,32.6
REST,1,0,19,4.64,13.8
FILE,4,0,15,4.79,13.5
REST,2,1,10,27.78,38.53
EMAIL,0,0,9,11.46,14.48
FILE,1,1,5,27.0,30.64
DATABASE,5,2,4,7.79,24.61
REST,1,0,12,1.96,9.26
DATABASE,5,3,9,5.52,25.33
EMAIL,5,1,10,7.53,18.64
REST,5,3,18,27.26,46.96
COMPUTE,4,3,7,5.06,27.21
REST,5,3,15,15.1,36.12
DATABASE,0,0,12,29.37,38.23
EMAIL,0,3,20,25.25,35.78
COMPUTE,1,2,17,13.86,30.95
FILE,2,0,16,1.48,10.39
DATABASE,5,1,6,14.16,30.05
EMAIL,0,1,6,12.75,18.27
DATABASE,2,1,3,1.56,13.51
FILE,0,0,18,18.03,23.69
EMAIL,4,3,7,13.72,27.14
REST,5,1,9,19.21,33.7
FILE,0,3,6,13.44,22.18
REST,0,0,13,26.56,33.84
EMAIL,3,1,5,21.93,31.89
COMPUTE,5,0,8,4.56,21.55
FILE,5,2,6,23.61,36.18
COMPUTE,3,0,4,22.57,36.34
FILE,4,0,5,11.18,17.45
DATABASE,1,2,17,5.14,19.71
REST,2,0,6,22.48,28.71
DATABASE,3,1,7,23.82,36.68
COMPUTE,4,1,12,9.28,26.99
COMPUTE,1,2,10,14.44,31.37
REST,4,1,15,11.22,27.01
DATABASE,3,0,12,15.56,29.73
FILE,2,0,9,28.8,35.27
REST,5,1,10,22.6,37.34
DATABASE,4,2,7,19.15,34.77
FILE,4,2,19,10.37,25.86
DATABASE,2,3,13,11.44,29.35
EMAIL,2,3,5,3.47,12.19
EMAIL,2,3,9,20.39,33.05
COMPUTE,0,3,13,15.62,33.05
REST,5,0,5,16.99,26.96
REST,1,0,6,4.12,9.98
COMPUTE,0,3,17,29.3,47.79
COMPUTE,1,2,8,24.71,40.1
COMPUTE,4,1,17,22.56,45.61
FILE,0,3,19,19.04,30.47
FILE,2,0,5,26.89,30.6
REST,2,3,18,9.06,24.26
DATABASE,2,1,13,1.34,14.46
COMPUTE,0,3,3,5.78,19.07
FILE,4,2,16,21.32,37.78
EMAIL,5,3,8,15.97,31.06
COMPUTE,3,2,10,17.88,37.51
REST,0,1,19,12.23,22.35
REST,3,3,13,16.93,34.78
COMPUTE,3,1,14,12.45,33.12
EMAIL,5,3,6,25.91,41.5
DATABASE,4,0,13,4.73,20.05
COMPUTE,4,0,14,15.13,34.57
EMAIL,4,1,5,26.72,35.93
DATABASE,0,1,7,16.76,25.49
DATABASE,2,1,18,2.22,17.63
FILE,1,2,15,2.49,11.21
COMPUTE,2,1,6,3.43,17.88
EMAIL,2,3,8,21.72,31.61
REST,1,0,11,14.82,23.3
COMPUTE,3,0,16,10.2,27.04
EMAIL,3,0,12,14.27,23.0
REST,0,3,12,7.48,18.81
FILE,2,3,9,26.88,37.63
REST,1,0,15,6.42,16.03
FILE,1,0,9,22.02,27.21
EMAIL,1,2,12,4.4,15.06
EMAIL,2,2,9,12.64,22.0
FILE,3,0,12,29.2,35.62
FILE,4,2,11,28.3,43.02
FILE,3,2,18,17.26,29.25
EMAIL,2,2,3,22.12,30.21
EMAIL,2,2,4,7.04,14.04
REST,3,2,3,25.5,36.3
DATABASE,5,1,16,15.14,35.33
EMAIL,0,2,14,27.22,33.92
REST,2,2,16,25.5,38.18
FILE,2,1,3,5.73,11.29
EMAIL,0,2,17,10.89,18.39
DATABASE,2,0,14,26.32,37.14
COMPUTE,1,0,13,14.61,27.88
REST,3,1,10,9.38,21.43
FILE,5,3,16,12.61,29.49
REST,3,0,17,4.92,18.47
EMAIL,2,0,18,13.26,20.58
EMAIL,2,1,18,20.22,31.55
REST,0,2,6,8.86,15.25
FILE,1,2,5,14.36,23.04
DATABASE,4,2,16,14.39,35.7
FILE,3,1,13,24.74,33.44
REST,0,3,9,7.18,18.49
DATABASE,0,3,17,27.9,42.48
FILE,5,2,5,5.73,20.02
DATABASE,3,2,10,20.24,37.34
EMAIL,1,2,14,10.19,19.96
COMPUTE,2,1,7,26.04,40.27
DATABASE,2,0,15,9.69,20.95
EMAIL,2,1,6,27.21,34.45
EMAIL,4,2,14,10.15,26.14
EMAIL,4,1,19,28.33,42.07
FILE,1,2,14,27.17,35.2
EMAIL,0,3,9,28.15,38.37
COMPUTE,2,3,14,11.63,31.31
REST,4,1,6,11.17,21.18
EMAIL,0,3,9,19.29,26.81
REST,5,3,9,1.17,18.37
EMAIL,3,3,11,9.89,23.26
COMPUTE,1,1,15,24.99,41.86
EMAIL,1,0,19,19.32,26.85
DATABASE,3,1,8,1.24,14.89
DATABASE,1,2,14,25.46,39.82
DATABASE,2,0,6,2.31,11.65
EMAIL,5,0,14,5.25,15.89
DATABASE,0,1,4,15.57,25.4
COMPUTE,2,1,9,13.85,30.62
FILE,4,2,8,1.38,13.62
FILE,3,2,13,11.12,25.4
REST,2,3,20,21.58,38.89
DATABASE,3,0,7,5.31,17.2
DATABASE,0,1,10,29.1,39.46
REST,2,0,17,11.63,22.0
COMPUTE,2,2,20,9.23,31.41
COMPUTE,4,0,13,17.16,34.3
REST,5,0,18,12.87,25.79
EMAIL,2,1,10,21.39,30.79
EMAIL,0,1,11,21.72,28.34
DATABASE,0,3,18,17.22,34.97
REST,0,0,14,9.37,14.72
DATABASE,0,2,4,24.28,33.22
REST,4,3,14,26.37,46.47
FILE,4,2,5,24.4,35.29
FILE,5,1,17,18.76,31.56
FILE,2,1,11,7.13,15.1
COMPUTE,2,3,14,1.26,21.76
DATABASE,4,1,18,18.59,36.84
EMAIL,4,2,17,18.74,32.01
REST,0,3,8,23.94,32.7
REST,3,3,18,27.37,46.17
DATABASE,0,2,16,12.61,25.37
DATABASE,1,3,6,13.32,28.62
REST,0,0,3,28.4,30.52
DATABASE,4,2,12,19.26,36.94
DATABASE,5,0,4,17.63,33.02
REST,2,1,19,13.95,28.56
DATABASE,4,1,8,5.94,20.91
COMPUTE,2,0,14,21.02,37.77
COMPUTE,4,2,13,29.25,53.04
DATABASE,1,3,18,19.42,37.96
FILE,3,2,14,11.74,23.69
FILE,4,3,18,14.51,32.89
REST,4,1,16,14.68,29.0
DATABASE,3,2,15,2.71,22.55
COMPUTE,3,1,5,7.06,23.09
FILE,3,0,11,20.79,29.71
EMAIL,5,1,16,27.57,40.99
EMAIL,4,0,15,1.41,10.63
DATABASE,3,2,12,4.45,21.8
COMPUTE,1,1,15,22.78,39.61
REST,1,0,7,27.06,32.66
COMPUTE,0,0,15,11.82,24.64
FILE,1,1,7,7.18,12.65
DATABASE,3,2,14,6.84,25.37
EMAIL,3,2,8,5.43,16.99
REST,4,2,8,15.9,32.13
REST,1,0,13,23.11,28.7
FILE,2,2,18,29.13,40.93
DATABASE,3,3,13,20.95,40.17
FILE,2,3,3,10.12,21.41
COMPUTE,2,0,16,19.6,36.85
EMAIL,0,2,7,28.46,35.04
COMPUTE,4,3,12,11.51,37.05
DATABASE,2,1,17,11.53,25.86
EMAIL,4,0,13,1.27,10.75
DATABASE,1,2,14,11.28,24.69
COMPUTE,4,2,20,14.36,38.21
REST,2,2,15,22.87,36.8
REST,5,2,12,23.81,39.36
REST,0,2,3,5.26,13.4
REST,2,1,10,9.79,19.17
EMAIL,3,0,20,22.54,32.51
DATABASE,3,2,4,10.25,24.68
REST,1,3,10,28.95,41.12
REST,0,0,17,4.16,12.37
FILE,0,3,19,6.34,16.91
FILE,4,2,7,25.4,35.51
DATABASE,2,3,11,9.0,28.25
FILE,2,2,11,23.51,34.07
DATABASE,3,3,15,7.12,27.26
EMAIL,5,2,5,6.12,20.28
COMPUTE,4,3,12,13.79,37.32
DATABASE,2,1,10,25.66,39.51
REST,5,2,3,23.65,37.55
DATABASE,3,2,14,24.7,42.16
COMPUTE,4,0,11,3.23,18.6
EMAIL,2,3,16,19.18,32.05
COMPUTE,1,2,10,2.18,19.02
REST,0,1,14,10.5,19.77
REST,2,0,8,3.87,9.59
FILE,0,1,19,25.46,33.58
EMAIL,3,0,5,8.55,13.84
EMAIL,3,0,10,23.67,29.26
FILE,4,1,14,13.06,25.86
EMAIL,5,0,15,6.27,20.02
COMPUTE,4,2,3,7.4,26.24
FILE,4,2,13,5.7,20.85
REST,1,0,16,20.08,28.91
DATABASE,4,2,16,24.96,45.37
DATABASE,0,0,8,8.15,15.01
REST,4,1,15,26.5,42.49
FILE,3,2,7,26.99,36.98
REST,4,1,7,17.95,31.65
FILE,0,1,8,12.26,18.19
FILE,2,3,9,19.58,32.35
EMAIL,0,3,11,9.19,16.62
FILE,5,2,16,24.24,41.75
FILE,4,3,16,13.34,31.72
EMAIL,1,0,13,15.65,19.22
COMPUTE,1,3,5,1.76,16.97
FILE,1,2,7,3.67,11.86
REST,4,0,4,29.71,38.09
REST,4,1,4,10.15,21.55
REST,4,2,16,1.32,18.68
DATABASE,4,2,18,1.3,21.86
COMPUTE,4,3,5,23.16,46.5
EMAIL,4,1,16,11.67,24.8
FILE,0,0,14,18.16,22.23
COMPUTE,4,3,18,16.23,40.48
COMPUTE,1,0,10,23.36,34.38
FILE,5,2,7,4.05,16.9
EMAIL,3,0,7,4.03,10.82
FILE,4,2,16,24.37,40.26
FILE,5,3,8,12.49,30.1
COMPUTE,5,2,19,29.05,54.15
DATABASE,3,1,17,26.66,44.31
EMAIL,3,0,4,24.55,29.13
FILE,4,1,9,2.46,12.32
DATABASE,3,2,13,29.04,47.97
DATABASE,5,1,9,27.16,42.59
DATABASE,2,1,11,11.38,25.04
DATABASE,5,3,7,29.08,50.23
COMPUTE,5,3,13,1.62,28.18
REST,2,3,18,1.64,16.83
DATABASE,5,2,19,22.21,44.66
REST,3,3,6,7.55,20.68
COMPUTE,2,0,9,23.63,39.17
EMAIL,3,0,3,6.72,12.74
FILE,0,3,3,22.63,30.13
DATABASE,0,0,20,10.76,19.98
REST,1,2,9,12.18,22.35
EMAIL,5,2,7,26.63,39.38
REST,1,2,3,16.62,25.73
COMPUTE,1,2,18,16.51,37.21
REST,4,3,11,1.28,19.33
REST,2,2,3,25.52,36.89
COMPUTE,3,2,11,19.87,38.89
EMAIL,2,0,17,15.21,24.42
EMAIL,5,3,9,13.07,27.55
DATABASE,5,2,12,13.02,32.94
DATABASE,0,3,11,12.27,27.98
DATABASE,4,1,7,11.88,26.62
REST,2,2,14,27.24,41.5
DATABASE,1,0,11,4.4,12.86
FILE,0,1,18,7.47,15.56
DATABASE,2,1,19,4.07,17.85
REST,1,2,4,25.51,33.07
EMAIL,5,2,4,10.78,22.97
FILE,4,0,13,23.78,35.3
FILE,3,1,20,14.02,27.59
DATABASE,0,0,9,27.78,37.08
FILE,1,0,4,10.55,12.93
FILE,1,3,13,12.94,23.23
FILE,4,1,18,3.62,17.92
EMAIL,5,2,18,5.95,22.95
DATABASE,1,2,8,23.23,35.89
FILE,3,3,13,15.06,30.6
REST,1,3,8,26.24,39.53
DATABASE,2,1,12,29.54,41.98
DATABASE,1,3,12,5.67,22.79
FILE,1,3,15,22.37,35.84
DATABASE,1,1,7,23.03,34.46
DATABASE,2,2,13,23.78,40.98
REST,5,3,11,13.6,32.8
FILE,5,1,9,8.65,22.31
EMAIL,2,3,9,7.69,19.54
FILE,1,2,17,29.53,40.5
REST,1,2,8,2.12,10.48
COMPUTE,4,2,4,10.16,28.0
REST,0,0,19,8.88,17.04
REST,2,0,6,24.47,32.87
EMAIL,5,3,7,4.89,21.69
DATABASE,2,1,16,11.81,26.48
REST,0,2,7,17.32,24.44
FILE,4,2,17,11.3,26.04
EMAIL,5,1,19,19.41,35.05
COMPUTE,2,1,6,11.56,26.73
EMAIL,1,0,7,21.58,26.55
EMAIL,0,3,9,27.2,34.77
EMAIL,5,0,17,21.53,34.35
REST,2,3,5,3.25,16.33
EMAIL,1,2,15,18.76,27.09
FILE,1,3,10,28.77,39.09
REST,5,0,13,24.5,37.28
FILE,2,3,7,23.94,35.33
FILE,1,3,20,19.55,32.28
COMPUTE,2,2,4,22.68,39.48
COMPUTE,2,2,14,14.39,31.81
REST,2,1,14,29.13,38.83
COMPUTE,0,1,7,9.91,20.41
EMAIL,2,0,17,1.02,10.13
EMAIL,3,1,20,12.69,25.67
FILE,1,1,13,13.18,19.65
REST,4,3,14,2.62,20.42
EMAIL,2,0,10,12.41,16.75
COMPUTE,0,1,15,23.43,39.84
DATABASE,0,3,12,28.29,44.21
COMPUTE,1,0,6,10.78,21.13
EMAIL,4,1,8,16.7,27.59
COMPUTE,4,0,4,8.37,24.92
FILE,4,2,12,15.85,31.0
EMAIL,2,0,11,6.27,12.01
DATABASE,2,2,17,9.79,25.45
DATABASE,2,3,14,11.6,30.29
FILE,1,3,5,23.87,32.63
DATABASE,1,2,4,20.34,33.07
COMPUTE,5,3,15,5.59,31.19
COMPUTE,3,2,5,24.52,41.72
COMPUTE,3,3,12,11.95,32.68
EMAIL,4,0,14,3.51,15.4
EMAIL,2,2,15,16.13,28.22
REST,3,0,9,28.76,36.98
EMAIL,3,1,12,25.65,36.98
COMPUTE,5,0,5,1.71,20.54
FILE,4,0,8,18.24,25.22
EMAIL,1,2,19,28.14,38.92
COMPUTE,1,1,16,5.46,20.0
EMAIL,3,1,9,16.23,26.36
REST,5,3,7,10.38,26.06
DATABASE,0,0,4,20.13,24.69
EMAIL,1,1,3,15.07,21.09
DATABASE,0,1,15,17.68,28.79
DATABASE,1,0,6,18.11,27.95
REST,2,3,13,3.48,16.94
REST,2,0,11,20.65,29.74
COMPUTE,0,3,13,14.59,33.85
EMAIL,0,2,10,19.58,26.45
DATABASE,4,1,4,11.69,25.34
FILE,0,3,14,15.46,26.34
COMPUTE,2,0,4,3.11,15.63
REST,5,3,16,18.04,36.92
DATABASE,4,1,14,26.29,43.65
REST,2,2,14,22.62,37.79
DATABASE,3,1,18,11.68,26.64
COMPUTE,2,1,9,3.86,18.36
COMPUTE,0,2,11,10.18,27.11
FILE,3,1,6,22.1,31.42
DATABASE,4,1,18,27.34,44.4
EMAIL,2,0,18,8.6,17.34
EMAIL,2,0,4,12.33,17.94
FILE,4,3,7,10.9,26.84
COMPUTE,4,2,6,19.25,37.33
DATABASE,2,3,13,24.23,41.98
DATABASE,3,2,3,13.21,26.61
DATABASE,5,1,13,3.97,20.84
EMAIL,4,0,9,15.59,22.35
DATABASE,4,1,14,11.96,28.5
COMPUTE,2,2,14,25.16,44.96
EMAIL,3,0,10,28.11,34.02
EMAIL,1,1,3,6.56,12.31
REST,0,1,8,9.27,15.49
COMPUTE,2,1,7,24.58,40.53
REST,5,0,17,20.09,33.57
DATABASE,1,3,19,20.03,36.79
COMPUTE,0,2,20,19.05,36.65
FILE,2,1,8,25.61,33.19
FILE,0,1,12,28.3,34.05
EMAIL,2,0,10,17.93,25.75
DATABASE,1,2,4,4.13,16.16
DATABASE,1,2,8,20.72,31.98
DATABASE,2,0,13,10.62,23.67
COMPUTE,3,1,19,24.69,44.15
REST,5,3,11,12.53,29.73
FILE,1,0,12,14.85,20.91
EMAIL,0,1,9,16.91,22.82
DATABASE,0,2,13,20.41,33.42
DATABASE,1,1,14,27.86,39.45
REST,0,0,16,5.81,11.21
FILE,5,0,9,2.3,12.6
DATABASE,5,3,16,11.3,34.85
EMAIL,5,3,3,12.34,28.51
EMAIL,4,1,20,11.89,27.47
DATABASE,5,3,14,5.77,28.12
EMAIL,1,2,8,8.54,17.81
FILE,1,2,20,10.25,22.14
EMAIL,3,2,16,4.84,17.51
REST,4,3,9,19.15,37.75
FILE,2,2,10,2.1,12.64
EMAIL,1,2,10,20.26,29.25
FILE,1,0,16,28.16,33.52
EMAIL,0,3,9,15.94,23.31
DATABASE,3,3,8,2.83,21.43
EMAIL,2,1,7,27.22,32.39
REST,0,3,6,6.83,17.82
COMPUTE,0,0,11,28.09,38.8
FILE,3,0,7,4.04,11.77
REST,0,0,3,6.85,8.58
DATABASE,2,1,11,10.3,24.75
FILE,2,3,17,18.08,31.47
DATABASE,4,2,10,10.16,26.82
REST,5,1,18,16.23,32.0
EMAIL,3,0,17,22.02,32.07
DATABASE,2,0,5,17.36,27.69
DATABASE,1,3,9,29.91,44.32
DATABASE,4,2,15,29.29,48.47
FILE,5,3,12,2.2,19.83
EMAIL,1,3,13,8.35,19.84
COMPUTE,3,2,9,4.56,24.13
DATABASE,4,2,17,28.46,47.98
DATABASE,5,0,6,25.18,39.68
FILE,2,0,19,14.89,24.31
REST,1,0,12,15.41,23.93
EMAIL,1,2,15,7.85,16.52
FILE,4,1,7,2.34,11.52
COMPUTE,0,2,7,9.62,22.14
DATABASE,4,0,15,29.65,45.76
DATABASE,0,3,15,17.23,30.77
REST,1,0,4,24.2,28.37
DATABASE,3,2,18,18.11,38.35
EMAIL,3,1,18,27.56,40.06
COMPUTE,1,2,20,26.37,45.9
COMPUTE,3,2,8,4.14,21.12
REST,5,0,9,2.01,13.14
COMPUTE,3,2,14,29.93,52.4
EMAIL,0,0,5,2.69,3.04
DATABASE,0,0,18,3.3,13.86
FILE,5,0,5,6.56,16.14
DATABASE,0,3,20,1.37,16.76
COMPUTE,5,1,8,25.25,45.76
COMPUTE,2,3,16,27.13,49.5
FILE,5,1,14,16.41,28.68
COMPUTE,5,3,14,29.71,54.34
DATABASE,5,3,10,21.4,41.82
EMAIL,1,2,4,23.03,30.5
DATABASE,0,2,7,2.03,11.37
EMAIL,3,1,9,5.19,15.55
DATABASE,5,2,8,29.92,50.74
COMPUTE,0,3,8,22.52,37.69
FILE,4,3,20,10.37,28.13
REST,1,0,14,10.75,19.79
DATABASE,1,2,3,17.51,28.59
EMAIL,5,3,15,2.14,20.0
EMAIL,5,1,16,22.73,37.54
DATABASE,5,3,11,11.24,32.96
EMAIL,5,2,19,6.22,23.49
DATABASE,1,3,14,11.73,30.16
FILE,5,1,11,3.02,16.77
EMAIL,4,2,19,8.21,24.58
COMPUTE,0,0,18,4.71,16.18
EMAIL,1,2,13,16.35,24.22
EMAIL,2,3,19,13.29,28.53
FILE,4,1,18,25.85,38.29
EMAIL,1,3,8,15.91,26.13
REST,3,0,15,8.39,18.55
COMPUTE,4,2,15,20.2,44.11
FILE,3,3,19,23.05,40.81
REST,3,0,7,28.37,35.19
REST,2,0,12,11.24,20.16
COMPUTE,4,0,16,7.79,26.25
COMPUTE,5,2,10,26.02,50.11
FILE,0,0,9,1.98,4.84
EMAIL,1,0,18,8.09,13.12
DATABASE,5,1,6,25.41,40.57
DATABASE,2,2,4,11.46,24.77
EMAIL,0,2,4,29.27,32.54
COMPUTE,0,3,8,19.81,34.88
COMPUTE,0,0,20,13.59,25.79
FILE,0,1,11,16.67,23.69
FILE,4,2,13,13.49,29.16
COMPUTE,3,3,11,20.09,43.27
EMAIL,3,2,7,18.96,30.03
FILE,4,2,12,5.09,17.95
FILE,2,1,8,27.82,34.42
DATABASE,3,3,3,9.08,26.04
DATABASE,1,0,19,28.42,41.67
